id,name_th,name_en,province_id
96,ชัยบาดาล,ชัยบาดาล,16
97,ลำสนธิ,ลำสนธิ,16
98,พัฒนานิคม,พัฒนานิคม,16
99,ท่าวุ้ง,ท่าวุ้ง,16
100,หนองม่วง,หนองม่วง,16
101,ท่าหลวง,ท่าหลวง,16
102,สระโบสถ์,สระโบสถ์,16
103,โคกเจริญ,โคกเจริญ,16
104,เมืองสิงห์บุรี,เมืองสิงห์บุรี,17
105,อินทร์บุรี,อินทร์บุรี,17
106,พรหมบุรี,พรหมบุรี,17
107,บางระจัน,บางระจัน,17
108,ท่าช้าง,ท่าช้าง,17
109,ค่ายบางระจัน,ค่ายบางระจัน,17
110,เมืองชัยนาท,เมืองชัยนาท,18
111,มโนรมย์,มโนรมย์,18
112,วัดสิงห์,วัดสิงห์,18
113,หนองมะโมง,หนองมะโมง,18
114,หันคา,หันคา,18
115,เนินขาม,เนินขาม,18
116,สรรคบุรี,สรรคบุรี,18
117,สรรพยา,สรรพยา,18
118,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ,19
119,เมืองสระบุรี,เมืองสระบุรี,19
120,แก่งคอย,แก่งคอย,19
121,พระพุทธบาท,พระพุทธบาท,19
122,บ้านหมอ,บ้านหมอ,19
123,หนองแค,หนองแค,19
124,วิหารแดง,วิหารแดง,19
125,เสาไห้,เสาไห้,19
126,หนองแซง,หนองแซง,19
127,มวกเหล็ก,มวกเหล็ก,19
128,หนองโดน,หนองโดน,19
129,ดอนพุด,ดอนพุด,19
130,วังม่วง,วังม่วง,19
131,เมืองชลบุรี,เมืองชลบุรี,20
132,ศรีราชา,ศรีราชา,20
133,เกาะสีชัง,เกาะสีชัง,20
134,พนัสนิคม,พนัสนิคม,20
135,บางละมุง,บางละมุง,20
136,พานทอง,พานทอง,20
137,บ้านบึง,บ้านบึง,20
138,สัตหีบ,สัตหีบ,20
139,หนองใหญ่,หนองใหญ่,20
140,เกาะจันทร์,เกาะจันทร์,20
